City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,belle fourche,44.6714,-103.8522,25.73,39,89,4.05,US,1724384376
111,rancho palos verdes,33.7445,-118.387,20.63,83,20,2.06,US,1724384377
112,la passe,45.5549,-0.8967,17.82,92,6,3.7,FR,1724384378
113,ketchikan,55.3422,-131.6461,13.26,88,100,5.14,US,1724384379
114,uzgen,40.7699,73.3007,29.59,19,2,1.68,KG,1724384380
115,parbhani,19.2667,76.7833,26.41,77,100,4.31,IN,1724384381
116,atafu village,-8.5421,-172.5159,27.59,81,75,11.09,TK,1724384382
117,boende,-0.2167,20.8667,21.91,92,61,1.3,CD,1724384383
118,yerofey pavlovich,53.9667,121.9667,25.44,32,7,1.19,RU,1724384385
119,linxia chengguanzhen,35.6003,103.2064,25.95,43,46,1.38,CN,1724384386
120,markaz-e hukumat-e darweshan,31.1323,64.1934,27.93,16,0,4.56,AF,1724384387
121,sungailiat,-1.85,106.1333,29.57,65,48,5.95,ID,1724384217
122,anna regina,7.2644,-58.5077,26.71,84,10,2.9,GY,1724384389
123,praia,14.9215,-23.5087,26.3,89,75,2.06,CV,1724384390
124,escarcega,18.6089,-90.7454,23.54,97,18,1.74,MX,1724384391
125,chonchi,-42.6128,-73.8092,3.95,97,83,0.77,CL,1724384393
126,saint-joseph,-21.3667,55.6167,20.21,61,24,1.34,RE,1724383898
127,ribeira grande,38.5167,-28.7,24.87,94,49,2.24,PT,1724384395
128,olonkinbyen,70.9221,-8.7187,5.47,97,100,9.2,SJ,1724384396
129,troitskoye,52.9821,84.6757,21.29,56,41,5.59,RU,1724384397
130,saldanha,-33.0117,17.9442,9.03,57,0,1.7,ZA,1724383939
131,dalbandin,28.8947,64.4101,31.52,10,0,1.16,PK,1724384399
132,onega,63.9061,38.1404,13.65,94,100,4.95,RU,1724384400
133,tchintabaraden,15.8969,5.7985,28.42,51,95,4.58,NE,1724384401
134,newman,37.3138,-121.0208,20.58,67,0,0.45,US,1724384403
135,nagqu,31.5,92.0,15.01,45,62,4.76,CN,1724383938
136,nahiyat al fuhud,30.9697,46.7228,35.94,30,0,5.2,IQ,1724384405
137,xinyang,32.1228,114.0656,35.49,51,0,3.11,CN,1724384193
138,merizo village,13.2658,144.6691,31.66,81,100,3.5,GU,1724384407
139,tolanaro,-25.0319,46.9987,19.04,77,20,5.14,MG,1724384408
140,las tablas,7.7667,-80.2833,25.1,99,100,1.73,PA,1724384409
141,masuguru,-11.3667,38.4167,20.15,80,10,1.05,TZ,1724384410
142,petropavlovsk-kamchatsky,53.0452,158.6483,17.33,68,75,1.0,RU,1724384411
143,tongren,27.7172,109.1853,33.46,56,15,2.78,CN,1724384413
144,sumbawanga,-7.9667,31.6167,12.89,66,0,0.0,TZ,1724384414
145,palmer,42.1584,-72.3287,15.84,84,20,0.0,US,1724384415
146,yellowknife,62.456,-114.3525,15.29,75,75,5.14,CA,1724384416
147,kodiak,57.79,-152.4072,14.73,58,0,4.12,US,1724384417
148,catonsville,39.272,-76.7319,16.93,78,0,0.0,US,1724384418
149,hermanus,-34.4187,19.2345,9.33,49,0,4.33,ZA,1724384419
150,alaghsas,17.0187,8.0168,28.43,54,42,2.48,NE,1724384420
151,coahuayana de hidalgo,18.7,-103.6583,25.57,92,100,1.68,MX,1724384421
152,razlog,41.8863,23.4671,19.16,65,81,1.59,BG,1724384423
153,warman,52.3168,-106.5679,18.94,88,20,3.09,CA,1724384424
154,labrador city,52.9463,-66.9114,11.77,75,0,4.92,CA,1724384411
155,iskateley,67.6803,53.1512,14.95,64,63,4.06,RU,1724384426
156,vadso,70.0744,29.7487,17.09,72,75,4.12,NO,1724384427
157,yigo village,13.5361,144.8886,30.97,70,75,5.14,GU,1724384428
158,pizarro,4.9533,-77.366,24.82,88,100,1.2,CO,1724384429
159,brookings,44.3114,-96.7984,21.77,84,75,5.66,US,1724384189
160,san juan,-31.5375,-68.5364,6.8,56,0,2.38,AR,1724384432
161,kerikeri,-35.2268,173.9474,14.95,91,75,3.58,NZ,1724383861
162,veraval,20.9,70.3667,28.98,79,67,4.33,IN,1724384435
163,port alfred,-33.5906,26.891,12.88,75,21,3.58,ZA,1724384436
164,conception bay south,47.4999,-52.9981,12.18,94,87,2.85,CA,1724384007
165,timbuktu,16.7735,-3.0074,31.83,51,60,3.65,ML,1724384438
166,college,64.8569,-147.8028,10.99,83,75,6.69,US,1724384439
167,muang xay,20.7,101.9833,22.17,100,100,0.5,LA,1724384440
168,west island,-12.1568,96.8225,27.99,69,6,6.17,CC,1724384442
169,jiupu,41.0667,122.95,26.64,70,2,2.67,CN,1724384443
170,aitape,-3.1374,142.3475,29.57,70,97,4.23,PG,1724384444
171,port blair,11.6667,92.75,30.02,79,40,1.03,IN,1724384445
172,port lincoln,-34.7333,135.8667,24.72,37,21,12.79,AU,1724384278
173,fisterra,42.9049,-9.2629,18.07,95,97,4.29,ES,1724384447
174,st. john's,47.5649,-52.7093,12.31,94,40,2.06,CA,1724384448
175,kavaratti,10.5669,72.642,26.39,87,61,5.58,IN,1724384449
176,olyokminsk,60.3736,120.4264,24.72,38,5,2.03,RU,1724384451
